country_name,de_country,ie_country,te_country
Canada,1.0218597630510007,1.3617051948310976,1.391471747735422
Thailand,1.0109197082732246,1.8366783404883094,1.8567343321581922
Egypt,1.0224811556451465,1.2166979121529886,1.2440506872892247
India,1.0184571905017241,0.6908444402106793,0.7035954876507047
Philippines,1.0206818365407893,0.7086899365870433,0.7233469460136388
Nigeria,1.0198275269838422,1.41945626173056,1.4476005690624065
France,1.026287543562278,1.3039104118121003,1.338187013563919
"Korea, South",1.025068423072721,1.4221352190923378,1.4577859064311611
Brazil,1.0239556590803027,1.0565932554220485,1.0819046432354862
Mexico,1.0186221508384392,0.9957183444425816,1.0142607616453923
Turkey,1.022327305790085,0.779117266519132,0.7965128559750398
Canada,0.9541594783031466,1.0697133851871805,1.0206771655440932
Thailand,0.8940395243440572,1.4050341820903052,1.256156091843158
Egypt,0.982908852265746,1.0557028855442057,1.0376597115638913
India,1.1697440232894107,1.1159059808350416,1.3053243516346975
Philippines,1.1229462980787948,1.0476517659550608,1.1764566722549477
Nigeria,1.0949714087837512,1.1695660342827996,1.2806413682242619
France,0.846648996229068,1.071693710365308,0.9073484041457934
"Korea, South",1.2282478554539984,1.3793046090783134,1.6941279281182542
Brazil,0.8795093719739222,1.23031482126926,1.0820734157847354
Mexico,0.928860638691641,1.1512014393319745,1.0693057042006344
Turkey,0.9555361256500754,1.2702070971182582,1.2137287683536093
Canada,1.0354015967069665,0.6701999167485998,0.6939260639143762
Thailand,1.3174285174222238,0.8633138663254117,1.137354306983135
Egypt,0.9855605048862951,0.6303908263123112,0.6212883010560502
India,1.0993031254443588,0.7854451936228333,0.8634423562148302
Philippines,0.7090349398876803,0.8002730998813041,0.5674215892680681
Nigeria,1.0645560945438013,0.8315776530156788,0.8852610586042712
France,0.8771293214169201,0.7112961280733875,0.6238986901434931
"Korea, South",1.029159811587207,0.7953015671586069,0.8184924110119622
Brazil,0.9051755068839965,0.7333406733756109,0.66380201574142
Mexico,0.9918715324506885,0.6190080869792197,0.6139764998314478
Turkey,0.7445605761007035,0.4752831306368446,0.3538770815579149
Canada,0.7619712792570686,1.1637831843564639,0.8867693617619596
Thailand,0.7213776768966303,0.6564734992954674,0.47356532786596595
Egypt,0.8578851018503763,0.7226593011639634,0.6199586481821685
India,0.6559065939139087,0.7211360181443736,0.4729978694097148
Philippines,0.708290379076088,0.7303466646742253,0.5172975159790636
Nigeria,0.8163611305548087,0.8691976222286928,0.7095791535581673
France,1.246353323952822,0.7810068829515817,0.9734105245967364
"Korea, South",0.8154993082662332,0.926333712554493,0.7554245018118808
Brazil,0.8556922648728919,0.7385920317969552,0.6320074885054076
Mexico,0.6985757972695177,0.9674426731752649,0.6758320367259641
Turkey,1.2328968360329373,0.8283367644285823,1.0212537760337597
Canada,1.048275141454896,0.9864412992462243,1.0340618925042873
Thailand,0.9180050335455677,0.4202813928772134,0.3858204341668242
Egypt,1.2037905634509727,1.4689475729384134,1.7683052265074715
India,1.20178384897414,0.9845248851010111,1.183186105827516
Philippines,0.8767520892752526,0.5932409397071896,0.5201252333318926
Nigeria,1.003136082322149,0.9433527935371171,0.9463112255564786
France,1.1447283239358454,0.6182244593323649,0.7076990491476823
"Korea, South",1.2237241514663875,1.1318966770434082,1.3851293006625682
Brazil,1.0029987100207223,0.8931650805131152,0.8958434235902091
Mexico,1.2662521956409354,0.5867959642686918,0.7430316781484709
Turkey,1.1582910278356353,0.7063151668858197,0.8181185206280744
Canada,0.9725440093021454,1.1024233767867295,1.0721552508085757
Thailand,1.0130924957634138,1.3818269299405277,1.3999184931665452
Egypt,0.9793522711411006,0.6639356809982689,0.650226917077268
India,1.009999206582318,1.0136499701788337,1.0237856656328124
Philippines,0.9985910052164293,0.6842859520415269,0.6833217967046296
Nigeria,1.070163743654832,0.7087640855556481,0.7584936271663258
France,0.9301721596446806,0.7150880083030879,0.6651549570192966
"Korea, South",1.07343317527192,0.6083044758058643,0.6529742049964098
Brazil,1.0907817120407786,0.6552619683890416,0.7147477717146092
Mexico,0.872813602027329,1.3317666886244603,1.1623840805583234
Turkey,1.2313533278370652,0.9134120578846041,1.1247329771627093
Canada,0.9661603682431957,0.5314443553122749,0.5134604740292752
Thailand,0.8413690081315178,0.9626875798284041,0.8099754941807558
Egypt,0.9395403528438817,0.5833552840827284,0.5480858294404295
India,0.8740337778120724,0.5877351519346377,0.5137003751983837
Philippines,0.8371489551881965,0.8875976180728283,0.7430514185972001
Nigeria,0.796350345320049,0.581474737877973,0.46305760830400877
France,0.8614642027824828,0.9341491651131685,0.8047360658041376
"Korea, South",0.9023246744166316,1.1960806374862905,1.0792530717958542
Brazil,1.109677147985777,1.0027735025359497,1.112754840369801
Mexico,0.7167610397417242,1.1417829955377978,0.8183855670410924
Turkey,0.6984935004322387,1.3455040301459558,0.9398258198623332
Canada,0.9558346144622473,0.7607961381105453,0.7271952833552597
Thailand,1.0328477469712074,1.1461829145818672,1.1838324409427732
Egypt,0.9998887494494617,0.8783604378891744,0.8782627198068881
India,0.9310625830615366,0.9068399635965654,0.8443247589296479
Philippines,0.9158867230807832,0.6499295697199652,0.5952618638441223
Nigeria,0.8731679817741683,0.5824055227297116,0.5085378548560318
France,0.894032424887875,1.1541073708873861,1.03180941137542
"Korea, South",1.073547904776337,0.8339639494496076,0.8953002505906252
Brazil,0.8902148010398294,0.723267551825263,0.6438634797466911
Mexico,0.9132612607526103,1.1634030294147053,1.06249091740668
Turkey,0.8882820085778427,0.7852475745235199,0.6975212927286314
Canada,0.7906110618816437,1.1543237333537915,0.9126211125820243
