de,ie,te
1.1144524557308297,1.1108151739327925,1.2379506984524695
1.0671257903581641,1.5520530069573493,1.6562357917271264
1.133965937184849,1.1855924112234633,1.3444214097122595
1.1057608633023104,1.8520532591541758,2.047928010724179
1.0922085884748243,1.6064495670206285,1.7545780140515934
1.1871073630570161,1.6211891599092436,1.9245255886364814
1.0952948209129347,1.2452249253138883,1.3638884115679977
1.0486290918488839,1.2326112834208593,1.292552050736303
0.9936100763484298,1.8169442969930085,1.8053341616560672
0.9311554527735717,1.1409358638235945,1.0623886508642653
1.1996234931631828,1.4506143599536168,1.7401910657202322
1.145329226753883,1.1335191691430788,1.2982526335053464
1.1301929429272464,1.4683189963259025,1.659483767613552
1.0476116178439867,1.2729206804072666,1.3335264933885247
1.1927865193168348,1.599762331365982,1.9081749429642145
1.042975197228749,1.2793419492081894,1.3343219217984237
1.126170648723711,1.5683808014833427,1.7662644246523098
1.0648065871238876,1.4649818042920406,1.559922275226803
1.251775238525064,1.0557698308946721,1.3215865318957447
1.0921475268199554,1.35714160366108,1.4821988459829167
1.2604863022512782,1.2303161529613262,1.5507966582462398
1.0309354338686374,1.595172327451044,1.6445196754959863
1.0131216561212038,1.3964189335044905,1.4147422625510746
0.9885578681099064,1.7247426926350533,1.7050079592694478
1.023679781117419,1.5978941685025103,1.63573195266145
1.072853676134879,1.520252651570001,1.6310086458906732
1.1802422905803323,1.2612493684373265,1.4885798435974673
1.0382417414221528,1.5439932654292354,1.6030382566433252
1.0992003892645454,1.410262428084982,1.5501610099161753
1.2274388277918162,1.357335021174739,1.6660457073115016
1.1331289243647689,1.6207395423784117,1.836506854330697
1.0825420362313325,1.1660527549157056,1.262301123659603
1.202421811994018,1.4713300809594907,1.7691593819886158
1.1441444287449516,1.365809382458943,1.5626831956679823
1.1308615580611705,1.3704399760459005,1.5497778865405802
1.0586795863420089,1.1229023907393532,1.1887938385303913
1.1200945468403267,1.3190057763514023,1.4774111773420973
1.159348085811851,1.3997696781163902,1.6228202969017078
1.227595129137513,1.4611117053198315,1.7936536125764302
1.1756699112240843,1.1779835968656154,1.3849198707504256
1.1671366407627943,1.3337311216775445,1.5566464610355228
1.197882746637124,1.3726276891121836,1.6442470263438709
1.1258390184705893,1.1102044352002718,1.249911471627569
1.0282679838779243,1.4621972748788543,1.5035306438714746
1.095307037592823,1.6256634474703051,1.7806006147716358
1.1153557760920383,1.2764695413122205,1.4237176759081398
1.1500272448058113,1.4974173910778437,1.7220707965855586
1.1238522943636264,1.3544572510449833,1.5222098892043547
1.1382038038143034,1.298886319728708,1.4783973498375769
1.0689295930506264,1.3636391699584098,1.457634263011537
1.040806618312855,1.2096825158022857,1.2590455685043638
1.122080154026491,1.5682789185764734,1.7597346505127882
1.1513201233580557,1.479547486937549,1.70343279517504
1.2187221323868702,1.5478215542546487,1.8863643851555854
1.2673513527308047,1.0965850293844972,1.3897585203747918
0.99975924638341,1.115156208925056,1.1148877310346945
1.0176424206555315,1.2513433280648802,1.2734200534430935
1.1393413137223174,1.3804582034041801,1.5728130630052686
1.0155288681544934,1.3366880073783836,1.357445259208655
1.171320268102826,1.2272551417791668,1.4375088216993457
1.1766821103593634,1.5105460510546724,1.7774325151500143
0.9823245858817583,1.4864374921700132,1.4601640939350278
1.2473788216275055,1.672669057029955,2.086451957330816
1.222594841690927,0.9655173882728604,1.180436578465295
1.1098415101628434,1.170509748957942,1.2990803074438129
1.1185525193446566,1.203234877201639,1.3458814032572517
1.0916874692416254,1.5454225532484873,1.6871184360647722
1.0967473469820197,1.5551381311901546,1.705593619573378
1.272441991511069,1.2088048912263742,1.5381341031404088
1.1028069211931595,1.4107587811621365,1.55579454799963
1.0215283368066612,1.6220044203976667,1.6569234778618809
1.125730505964804,1.2545957465835065,1.4123367045827417
1.0404103802324507,1.4274552254700679,1.485139233896112
1.189212494937873,1.2821503986260725,1.5247492744357
0.9735184119632844,1.1565956069698344,1.1259671185809843
1.2886799376738725,1.2784520580056313,1.6475155184297308
1.1109928856697542,1.2784329982378673,1.4203299658477238
1.1509664145431882,1.5696018278020587,1.8065589880057702
1.0838033166163403,1.101356795631205,1.1936541478830447
1.05954533139318,1.4875754448758634,1.5761536177133537
1.0039980789430516,1.0445488544237103,1.0487250432035704
1.243686777956694,1.136500009401578,1.4134500348404009
1.1038640307267908,1.1567577103425302,1.2769032287129989
1.103156627778126,1.5819826772276933,1.7451746754139137
1.085797583909537,1.4094903072225355,1.53042117012614
1.222606403404406,1.2622476850022866,1.543232102366183
1.0997190601892293,1.6143551385174382,1.7753371157420499
1.1538335436181695,1.3120768860220606,1.513918322898327
1.125811245585611,1.3677938212344884,1.539877665588302
1.1247440101561286,1.5532319900104155,1.7469883771470986
0.9482466869714556,1.2633612539629175,1.1979781235184404
1.0800427991623094,1.197124973028259,1.292946206816545
1.1505604652586898,1.4072196788940539,1.6190913284695265
1.1239584932365816,0.994968376024316,1.1183031567343387
1.1177473911308329,1.323497535867056,1.4793359178834877
1.1930300536768168,1.2263250899329634,1.4630426878679503
1.1762543631006135,1.600844955844311,1.8830008639594797
1.1172146658832671,1.409766249434839,1.5750115293358502
0.9352910703062541,1.1495684752342024,1.0751811295921256
1.065338315555422,1.2771661597764472,1.360614045340627
1.1644564589334652,1.3004538931400456,1.5143219354120965
1.1704891879194783,1.2886241486323637,1.5083206332661245
1.1488285815950616,1.409982988895662,1.619828757206169
1.1526244792963038,1.1081990580786294,1.2773373622745348
1.1529090652850569,2.1506300903164086,2.479480927200608
1.148552692703592,1.2514856472489817,1.4373972100277157
1.0695968379586778,1.2957392920545034,1.3859186496003126
1.0448259270784097,1.4641973287669798,1.5298313314546907
1.0294254592874055,0.9660363501518826,0.9944624134434307
1.0588446810198007,1.6009784017476947,1.6951874651181282
1.0317033438784422,1.4300272046720834,1.4753638488973297
1.0908732606841816,1.1585228993583645,1.2638016528003508
1.0817599473107877,1.1587262939945817,1.253463694739203
1.119590982024781,1.2845823691002456,1.4382068361126636
1.0516899534344526,1.0393400852602999,1.0930635258699648
1.1721044382104542,1.2592274223259525,1.475946050424559
1.072213432386019,1.71952930154489,1.8437024144977805
1.1764043956853751,1.4082632001209856,1.6566870189042808
1.1714108028090786,1.403284670280689,1.643822822183175
1.0313531859686011,1.2214747679088438,1.2597718934630435
1.0939279319715511,1.3908213793005615,1.5214583552000835
1.2398982680182564,1.3619425541836219,1.688670214072633
1.1364419105327022,1.5303325417814961,1.7391340375325297
1.2080645331241895,1.6235058723657727,1.9612998637239372
0.9881092601980183,1.575937952254746,1.557198884120417
1.1922623416227827,1.2661774467061597,1.509615687519842
1.1021073284427507,1.1600655252230803,1.2785167168221454
1.0941825804225311,1.2186052039589594,1.3333765865841392
1.0846010816746712,1.3864507989785362,1.5037460362608326
1.1508930791296987,1.40110497745086,1.6125220216823675
1.2626456727292705,1.4235369266386648,1.797422740390635
1.1544359889967173,1.6620777020100985,1.9187623157094191
1.0950379860669,1.3041281322620324,1.4280698435254038
1.004496062386839,1.3653735310714055,1.3715123356484415
1.0964682988886294,1.5839249419737331,1.7367234866932102
1.1091245310228077,1.518338113623433,1.6840260482066447
1.2110071814060082,1.1905734875427332,1.4417930434058466
1.1494814985023492,1.2334439863062907,1.417821041698066
1.1125892548301686,1.193540276664584,1.3279200870240429
1.1580165528107045,1.5049523111904386,1.7427596875492541
1.1337704874948116,0.9298558236012509,1.0542430904242797
1.0129917440435485,1.425772677495649,1.4442959511859572
1.1936950407757703,1.3810167140319531,1.6485128027683926
1.2584146642617084,1.6203379951128558,2.0390570941104342
1.109735514701137,1.3824903621101983,1.5341986535657224
1.1233752150764946,1.19497831207022,1.34240901833363
1.0150370342084802,1.5729842949491557,1.5966373136017082
1.0490404581585824,1.5190552093849343,1.593550372821353
1.2235431732384854,1.27926442075897,1.5652352487865233
1.0438132113392855,1.2708989599766092,1.3265811247009425
1.211071172349628,1.3618793738371353,1.6493328498717164
1.1631623437008394,1.179795923395705,1.3722941913456441
1.1660202029444082,1.459625517408607,1.7019528420316206
1.217116815380376,1.0466703425838846,1.2739200741187848
1.2170726784225876,1.1733838636546345,1.4280934417559903
0.9671429165507739,1.399940559522516,1.3539425957343285
1.14548664096651,1.3299777026726365,1.5234716911948343
1.1549685522861868,1.4199986628056511,1.640053799828964
1.0149743141737908,0.9522389027993043,0.966498027298327
1.1006191111546286,1.1809597496362225,1.2997868699540118
1.0713170874503894,1.2094150254402463,1.2956669825733835
1.1753735854607674,1.2445359922051502,1.462794731393141
1.1585849860352915,1.5342752405774998,1.777588258178776
1.0245723941818003,1.2075228043287314,1.23719453066021
1.148313231713589,1.361936321020515,1.5639294981791834
1.0471313620238247,1.6499878207882932,1.727753994104768
1.132646530344695,1.2980742150347775,1.4702592557890541
1.170015107270485,1.2903264724221901,1.5097014660449952
1.1054054585951738,1.6822516396463705,1.8595701451957791
